,Sequencen,True next word,Predicted word,Predictions,Correct
79,came this tremendous change the railways reduced this journey for,any,the,[0.07610453],False
80,a the steamboat if anything little ahead of the steam,engine,engine,[0.20758757],True
81,frontier travelled across the continent it meant unity sustained on,scale,the,[0.3112913],False
82,the first days of the railway the progress of physical,science,and,[0.03521932],False
83,and manchester railway early travelling on the liverpool and manchester,railway,railway,[0.75919396],True
84,sea american the phœnix which went from new york hoboken,to,to,[0.8761825],True
85,gave the belgians monarch leopold of saxe coburg gotha there,were,were,[0.6550056],True
86,the state religion map europe after the congress of vienna,there,the,[0.26933122],False
87,been fixed condition of human life the maximum rate of,land,the,[0.13022916],False
88,with great violence and cruelty the polish language banned and,the,the,[0.6170755],True
89,the railways reduced this journey for any ordinary traveller to,less,be,[0.05821012],False
90,possibilities of republic or of annexation to france hurried to,pacify,the,[0.26466292],False
91,and its work realizing the dream of bacon ’ s,new,“,[0.15957843],False
92,still netted boundaries drawn the horse and road era america,the,the,[0.6349568],True
93,of vienna and while the sailing ship spreading european influence,throughout,upon,[0.25382015],False
94,and russia took joint action the turkish fleet destroyed by,the,the,[0.83016086],True
95,treaty of adrianople greece declared free but she not permitted,to,to,[0.7533592],True
96,slav region much blood had still to run however before,the,the,[0.26210475],True
97,her ancient republican traditions german king found for greece one,prince,of,[0.5276782],False
98,princes were going on europe and the patchwork of the,treaty,emperor,[0.04807634],False
99,opened and stephenson ’ s “ rocket ” with thirteen,ton,ton,[0.49488047],True
100,fatherland portrait of napoleon coronation portrait of napoleon coronation from,print,spain,[0.07100853],False
101,napoleon coronation from print the british museum french speaking belgium,stirred,and,[0.76729906],False
102,process that went on chiefly small world of prosperous and,independent,prosperous,[0.01272659],False
103,english at the battle of navarino and the tsar invaded,turkey,turkey,[0.2621014],True
104,tremendous change the railways reduced this journey for any ordinary,traveller,thing,[0.05496684],False
105,” the scientific process could not have begun greece and,could,the,[0.06148233],False
106,this journey of about miles he travelling with every conceivable,advantage,advantage,[0.02614903],True
107,reacted upon practical inventions machinery on new scale and new,abundance,and,[0.12208054],False
108,travelling on the liverpool and manchester railway early travelling on,the,the,[0.7337424],True
109,network of railways had spread all over europe early travelling,on,and,[0.22856939],False
110,engine its earlier phases there steamboat the charlotte dundas on,the,the,[0.04794157],True
111,transport after the russian disaster napoleon travelled from near vilna,to,to,[0.79992837],True
112,looked on liberal opinion protested against this inactivity volunteers from,every,the,[0.08264606],False
113,rome and gaul the first century then suddenly came this,tremendous,way,[0.09096846],False
114,first steamship to put to sea american the phœnix which,went,have,[0.08186319],False
115,substituted for the roman catholic as the state religion map,europe,europe,[0.27689585],True
116,the time these were about the same maximum rates of,travel,the,[0.10626658],False
117,the chief european distances to about tenth of what they,had,are,[0.1698144],False
118,influence throughout the world steady growth of knowledge and general,clearing,of,[0.04715725],False
119,of human life the maximum rate of land transport after,the,the,[0.23542981],True
120,orthodox church substituted for the roman catholic as the state,religion,of,[0.33320487],False
121,under one administration the full significance of that possibility europe,still,and,[0.08131164],False
122,anticipated by leonardo vinci —began its great task of interpreting,the,the,[0.9456995],True
123,association the kingdom of the netherlands the powers terrified at,the,the,[0.38589656],True
124,reduced this journey for any ordinary traveller to less than,forty,much,[0.03331252],False
125,adapted the watt engine to transport and made the first,locomotive,sea,[0.05075406],False
126,upon the hudson river above new york the first steamship,to,the,[0.14324863],False
127,and stephenson ’ s “ rocket ” with thirteen ton,train,he,[0.06417868],False
128,the tsar invaded turkey by the treaty of adrianople greece,declared,became,[0.0268826],False
129,this journey for any ordinary traveller to less than forty,eight,years,[0.15387778],False
130,europe looked on liberal opinion protested against this inactivity volunteers,from,from,[0.793117],True
131,spread all over europe early travelling on the liverpool and,manchester,manchester,[0.71846277],True
132,on the liverpool and manchester railway early travelling on the,liverpool,first,[0.04955727],False
133,general clearing up of men ’ ideas about the world,which,and,[0.12189838],False
134,throughout the seventeenth and eighteenth centuries and the opening years,of,of,[0.9346984],True
135,the royal society and its work realizing the dream of,bacon,the,[0.12571958],False
136,railways had spread all over europe early travelling on the,liverpool,liverpool,[0.07531587],True
137,and gave the belgians monarch leopold of saxe coburg gotha,there,there,[0.33840486],True
138,had still to run however before the turk altogether expelled,from,by,[0.18510471],False
139,remains to be realized europe is still netted boundaries drawn,the,by,[0.3604233],False
140,by the french and english at the battle of navarino,and,and,[0.7127437],True
141,physical science reacted upon metallurgy improved metallurgy affording the possibility,of,of,[0.988591],True
142,could not have done this distance twice the time these,were,were,[0.12514237],True
143,what they had been they made it possible to carry,out,the,[0.08752636],False
144,had spread all over europe early travelling on the liverpool,and,and,[0.8194415],True
145,the greeks against the turks for six years they fought,desperate,and,[0.12640788],False
146,she not permitted to resume her ancient republican traditions german,king,and,[0.5320394],False
147,knowledge throughout the seventeenth and eighteenth centuries and the opening,years,of,[0.851256],False
148,political life nor it affecting popular thought very profoundly during,this,the,[0.6785418],False
149,got up to speed of forty four miles per hour,from,or,[0.16182195],False
150,up to speed of forty four miles per hour from,onward,the,[0.37872696],False
151,pacify this situation and gave the belgians monarch leopold of,saxe,titian,[0.04717658],False
152,nicholas who succeeded alexander and then stamped out of existence,with,and,[0.13042188],False
153,four miles per hour from onward railways multiplied by the,middle,middle,[0.04480918],True
154,any that had hitherto been workable under one administration the,full,world,[0.0424187],False
155,found for greece one prince otto of bavaria and christian,governors,teaching,[0.01454618],False
156,the first steamship to put to sea american the phœnix,which,the,[0.23536323],False
157,of railways had spread all over europe early travelling on,the,the,[0.66989756],True
158,maximum rates of travel as held good between rome and,gaul,the,[0.02230532],False
159,could not have begun greece and could not have been,renewed,willing,[0.01775655],False
160,hudson river above new york the first steamship to put,to,the,[0.25777075],False
161,set up the danubian provinces which are now roumania and,serbia,serbia,[0.07265078],True
162,twice the time these were about the same maximum rates,of,of,[0.9787148],True
163,traveller could not have done this distance twice the time,these,traveller,[0.23471132],False
164,sustained on scale that would otherwise have been impossible the,steamboat,martians,[0.02084466],False
165,language banned and the greek orthodox church substituted for the,roman,roman,[0.24175487],True
166,first days of the railway early rolling stock on the,liverpool,liverpool,[0.1459462],True
167,to say they reduced the chief european distances to about,tenth,the,[0.12447743],False
168,greece and could not have been renewed europe the universities,played,had,[0.10102788],False
169,times as great as any that had hitherto been workable,under,by,[0.08964423],False
170,states of america sprawling westward it meant the possibility of,continuous,the,[0.04741906],False
171,or of annexation to france hurried to pacify this situation,and,and,[0.13183568],True
172,steamship to put to sea american the phœnix which went,from,to,[0.24423893],False
173,christian governors were set up the danubian provinces which are,now,the,[0.23492211],False
174,railway the first days of the railway the progress of,physical,the,[0.12619002],False
175,distance twice the time these were about the same maximum,rates,rates,[0.840954],True
176,during this period declared that wherever the german tongue spoken,there,of,[0.20712283],False
177,of the rocks early rolling stock on the liverpool and,manchester,manchester,[0.79581404],True
178,across the continent it meant unity sustained on scale that,would,is,[0.12637947],False
179,it went on disconnected from political life and producing throughout,the,the,[0.84448296],True
180,it any wonder that one of the most popular songs,germany,of,[0.19001071],False
181,journey of about miles he travelling with every conceivable advantage,and,and,[0.2628725],True
182,and serbia part of the jugo slav region much blood,had,and,[0.20861484],False
183,six years they fought desperate while the governments of europe,looked,and,[0.05397183],False
184,more serious one russian poland republican government held out warsaw,for,for,[0.640036],True
185,russian poland republican government held out warsaw for year against,nicholas,the,[0.17628336],False
186,any wonder that one of the most popular songs germany,during,were,[0.1704679],False
187,the liverpool and manchester railway the first days of the,railway,first,[0.1139424],False
188,then stamped out of existence with great violence and cruelty,the,he,[0.15557408],False
189,greece one prince otto of bavaria and christian governors were,set,the,[0.13122797],False
190,on europe and the patchwork of the treaty of westphalia,changing,the,[0.9303979],False
191,portrait of napoleon coronation from print the british museum french,speaking,and,[0.06715512],False
192,to paris hours this journey of about miles he travelling,with,and,[0.15548962],False
193,’ s “ rocket ” with thirteen ton train got,up,up,[0.3427012],True
194,of about miles he travelling with every conceivable advantage and,he,he,[0.01543978],True
195,drawn the horse and road era america the effects were,immediate,the,[0.04523737],False
196,this distance twice the time these were about the same,maximum,refractive,[0.06450143],False
197,of bavaria and christian governors were set up the danubian,provinces,provinces,[0.35731986],True
198,much blood had still to run however before the turk,altogether,the,[0.04744631],False
199,small world of prosperous and independent spirited people without what,the,the,[0.2878177],True
200,period declared that wherever the german tongue spoken there the,german,first,[0.04229402],False
201,royal society and its work realizing the dream of bacon,’,the,[0.25830302],False
202,and scientific thought of this period endowed learning is apt,to,to,[0.7874914],True
203,insurrection of the greeks against the turks for six years,they,the,[0.11288426],False
204,striking immediate results political life nor it affecting popular thought,very,of,[0.15206718],False
205,resume her ancient republican traditions german king found for greece,one,the,[0.1657918],False
206,rolling stock on the liverpool and manchester railway the first,days,time,[0.11767892],False
207,to come later and only their full force the latter,half,and,[0.24296524],False
208,of europe looked on liberal opinion protested against this inactivity,volunteers,volunteers,[0.067435],True
209,annexation to france hurried to pacify this situation and gave,the,the,[0.4763456],True
210,would otherwise have been impossible the steamboat clermont a the,steamboat,steamboat,[0.02930113],True
211,german king found for greece one prince otto of bavaria,and,and,[0.8119627],True
212,of the powers and princes were going on europe and,the,they,[0.05733215],False
213,it meant the possibility of continuous access to washington however,far,the,[0.27737203],False
214,the liverpool and manchester railway early travelling on the liverpool,and,and,[0.7304195],True
215,the middle of the century network of railways had spread,all,over,[0.07883046],False
216,’ ideas about the world which they lived progress the,european,world,[0.05662168],False
217,has the spur of contact with independent minds we have,already,not,[0.0895092],False
218,engine to transport and made the first locomotive the first,railway,railway,[0.07896749],True
219,were to come later and only their full force the,latter,latter,[0.02098779],True
220,the spur of contact with independent minds we have already,noted,been,[0.08738311],False
221,religion map europe after the congress of vienna there insurrection,of,of,[0.6347874],True
222,boundaries drawn the horse and road era america the effects,were,of,[0.91980654],False
223,the nineteenth century while these conflicts of the powers and,princes,west—to,[0.0277277],False
224,work areas ten times as great as any that had,hitherto,been,[0.10552543],False
225,of republic or of annexation to france hurried to pacify,this,the,[0.5751502],False
226,steam engine its earlier phases there steamboat the charlotte dundas,on,on,[0.33870086],True
227,the polish language banned and the greek orthodox church substituted,for,for,[0.5642084],True
228,“ private gentleman ” the scientific process could not have,begun,been,[0.15012322],False
229,eighteenth centuries no striking immediate results political life nor it,affecting,seemed,[0.06612554],False
230,spoken there the german fatherland portrait of napoleon coronation portrait,of,of,[0.9511967],True
231,liverpool and manchester railway the first days of the railway,the,the,[0.371375],True
232,danubian provinces which are now roumania and serbia part of,the,the,[0.8505817],True
233,the treaty of westphalia changing kaleidoscopically into the patchwork of,the,the,[0.8147018],True
234,went on disconnected from political life and producing throughout the,seventeenth,world,[0.05997957],False
235,of the treaty of westphalia changing kaleidoscopically into the patchwork,of,of,[0.94131905],True
236,spreading european influence throughout the world steady growth of knowledge,and,and,[0.6424856],True
237,dutch association the kingdom of the netherlands the powers terrified,at,and,[0.20869341],False
238,bavaria and christian governors were set up the danubian provinces,which,which,[0.22282407],True
239,united states of america sprawling westward it meant the possibility,of,of,[0.984219],True
240,development of material knowledge throughout the seventeenth and eighteenth centuries,and,of,[0.19734779],False
241,time these were about the same maximum rates of travel,as,to,[0.12659529],False
242,chiefly small world of prosperous and independent spirited people without,what,any,[0.06133811],False
243,belgians monarch leopold of saxe coburg gotha there were ineffectual,revolts,revolts,[0.94742155],True
244,much mathematical advance systematic development of the use of optical,glass,and,[0.31263694],False
245,succeeded alexander and then stamped out of existence with great,violence,violence,[0.05826288],True
246,been renewed europe the universities played part but not leading,part,to,[0.43398878],False
247,had been they made it possible to carry out administrative,work,history,[0.04852112],False
248,ideas about matter and motion much mathematical advance systematic development,of,of,[0.80692595],True
249,the patchwork of the treaty of vienna and while the,sailing,roman,[0.03076114],False
250,engines upon the hudson river above new york the first,steamship,settled,[0.01783095],False
251,life the maximum rate of land transport after the russian,disaster,river,[0.08988407],False
252,the powers terrified at the possibilities of republic or of,annexation,the,[0.01393831],False
253,rocket ” with thirteen ton train got up to speed,of,with,[0.14045577],False
254,any ordinary traveller to less than forty eight hours that,is,is,[0.08378685],True
255,distances to about tenth of what they had been they,made,had,[0.18295585],False
256,coronation from print the british museum french speaking belgium stirred,up,by,[0.18067354],False
257,this situation and gave the belgians monarch leopold of saxe,coburg,coburg,[0.11135532],True
258,had hitherto been workable under one administration the full significance,of,of,[0.9491306],True
259,on the liverpool and manchester railway the first days of,the,the,[0.73074144],True
260,the effects were immediate to the united states of america,sprawling,the,[0.20107424],False
261,and other materials reacted upon practical inventions machinery on new,scale,york,[0.21824305],False
262,joined the insurgents and at last britain france and russia,took,and,[0.21211706],False
263,what had long been fixed condition of human life the,maximum,world,[0.02596862],False
264,the turks for six years they fought desperate while the,governments,old,[0.03526791],False
265,first century then suddenly came this tremendous change the railways,reduced,and,[0.27930054],False
266,situation and gave the belgians monarch leopold of saxe coburg,gotha,and,[0.24330781],False
267,powers terrified at the possibilities of republic or of annexation,to,to,[0.66717565],True
268,these lands lvii the development of material knowledge throughout the,seventeenth,roman,[0.09731241],False
269,century then suddenly came this tremendous change the railways reduced,this,this,[0.0882029],True
270,against its dutch association the kingdom of the netherlands the,powers,roman,[0.02731982],False
271,with independent minds we have already noted the formation of,the,the,[0.40693465],True
272,the formation of the royal society and its work realizing,the,the,[0.60462564],True
273,church substituted for the roman catholic as the state religion,map,were,[0.12187722],False
274,the kingdom of the netherlands the powers terrified at the,possibilities,end,[0.01699406],False
275,great violence and cruelty the polish language banned and the,greek,latin,[0.0440071],False
276,leopold of saxe coburg gotha there were ineffectual revolts italy,and,and,[0.5575477],True
277,sailing ship spreading european influence throughout the world steady growth,of,of,[0.7241031],True
278,begun greece and could not have been renewed europe the,universities,romans,[0.02602409],False
279,firth of clyde canal and american named fulton had steamer,the,the,[0.30326298],True
280,republic or of annexation to france hurried to pacify this,situation,kingdom,[0.05428384],False
281,world it went on disconnected from political life and producing,throughout,over,[0.02770498],False
282,less than forty eight hours that is to say they,reduced,were,[0.42320547],False
283,traditions german king found for greece one prince otto of,bavaria,bavaria,[0.1594393],True
284,the science of geology—foreshadowed by aristotle and anticipated by leonardo,vinci,vinci,[0.70046663],True
285,administration the full significance of that possibility europe still remains,to,of,[0.32897806],False
286,however far the frontier travelled across the continent it meant,unity,to,[0.29697973],False
287,roumania and serbia part of the jugo slav region much,blood,as,[0.11795006],False
288,vilna to paris hours this journey of about miles he,travelling,could,[0.07453359],False
289,the watt engine to transport and made the first locomotive,the,west,[0.04349406],False
290,while the sailing ship spreading european influence throughout the world,steady,and,[0.12423209],False
291,results political life nor it affecting popular thought very profoundly,during,to,[0.13805217],False
292,clearing up of general ideas about matter and motion much,mathematical,as,[0.38110223],False
293,travel as held good between rome and gaul the first,century,century,[0.38328376],True
294,desperate while the governments of europe looked on liberal opinion,protested,upon,[0.02574144],False
295,british built engines upon the hudson river above new york,the,and,[0.18417637],False
296,forty four miles per hour from onward railways multiplied by,the,the,[0.87013257],True
297,ahead of the steam engine its earlier phases there steamboat,the,the,[0.2722323],True
298,played part but not leading part the philosophical and scientific,thought,men,[0.08501386],False
299,the frontier travelled across the continent it meant unity sustained,on,to,[0.06889547],False
300,life and producing throughout the seventeenth and eighteenth centuries no,striking,political,[0.07786378],False
301,science the science of geology—foreshadowed by aristotle and anticipated by,leonardo,leonardo,[0.07390855],True
302,rate of land transport after the russian disaster napoleon travelled,from,into,[0.4941671],False
303,if anything little ahead of the steam engine its earlier,phases,phases,[0.03276607],True
304,and producing throughout the seventeenth and eighteenth centuries no striking,immediate,to,[0.0353344],False
305,german tongue spoken there the german fatherland portrait of napoleon,coronation,coronation,[0.8237205],True
306,turkish fleet destroyed by the french and english at the,battle,battle,[0.03433432],True
307,and manchester railway the first days of the railway early,rolling,asia,[0.06642043],False
308,that possibility europe still remains to be realized europe is,still,only,[0.07018269],False
309,then suddenly came this tremendous change the railways reduced this,journey,place,[0.03745092],False
310,at last britain france and russia took joint action the,turkish,great,[0.04033491],False
311,manchester railway here sudden change what had long been fixed,condition,on,[0.16816922],False
312,systematic development of the use of optical glass microscope and,telescope,more,[0.03873777],False
313,jugo slav region much blood had still to run however,before,and,[0.15204297],False
314,between rome and gaul the first century then suddenly came,this,to,[0.27519172],False
315,as the state religion map europe after the congress of,vienna,vienna,[0.20042996],True
316,multiplied by the middle of the century network of railways,had,and,[0.30029064],False
317,the roman catholic as the state religion map europe after,the,the,[0.3666766],True
318,abundance appeared to revolutionize industry trevithick adapted the watt engine,to,to,[0.45430726],True
319,expelled from these lands lvii the development of material knowledge,throughout,of,[0.18327431],False
320,upon practical inventions machinery on new scale and new abundance,appeared,of,[0.12107398],False
321,during this period these reactions were to come later and,only,the,[0.13639472],False
322,sudden change what had long been fixed condition of human,life,life,[0.1876318],True
323,new abundance appeared to revolutionize industry trevithick adapted the watt,engine,engine,[0.10753912],True
324,altogether expelled from these lands lvii the development of material,knowledge,and,[0.3113331],False
325,inactivity volunteers from every european country joined the insurgents and,at,the,[0.09794062],False
326,middle of the century network of railways had spread all,over,the,[0.23880316],False
327,the governments of europe looked on liberal opinion protested against,this,the,[0.5660908],False
328,wonder that one of the most popular songs germany during,this,the,[0.88323116],False
329,traveller to less than forty eight hours that is to,say,be,[0.4269265],False
330,appeared to revolutionize industry trevithick adapted the watt engine to,transport,the,[0.1668116],False
331,of geology—foreshadowed by aristotle and anticipated by leonardo vinci —began,its,the,[0.506817],False
332,per hour from onward railways multiplied by the middle of,the,the,[0.86494833],True
333,of the royal society and its work realizing the dream,of,of,[0.8631881],True
334,of the greeks against the turks for six years they,fought,were,[0.2620526],False
335,before the turk altogether expelled from these lands lvii the,development,european,[0.02139282],False
336,to put to sea american the phœnix which went from,new,the,[0.1089443],False
337,of anatomical science the science of geology—foreshadowed by aristotle and,anticipated,the,[0.08932025],False
338,is apt to be timid and conservative learning lacking initiative,and,and,[0.26164848],True
339,the world which they lived progress the european and europeanized,world,world,[0.3745017],True
340,to revolutionize industry trevithick adapted the watt engine to transport,and,the,[0.27699387],False
341,the full significance of that possibility europe still remains to,be,be,[0.3290981],True
342,revolution france revolted against its dutch association the kingdom of,the,israel,[0.05916196],False
343,the steamboat if anything little ahead of the steam engine,its,the,[0.3458223],False
344,mathematical advance systematic development of the use of optical glass,microscope,of,[0.04138197],False
345,railway the first days of the railway early rolling stock,on,the,[0.13933398],False
346,netherlands the powers terrified at the possibilities of republic or,of,of,[0.07152693],True
347,french speaking belgium stirred up by the current revolution france,revolted,revolted,[0.16854201],True
348,the clermont with british built engines upon the hudson river,above,and,[0.06216815],False
349,be timid and conservative learning lacking initiative and resistent to,innovation,innovation,[0.02003528],True
350,of this period endowed learning is apt to be timid,and,to,[0.17133607],False
351,out administrative work areas ten times as great as any,that,more,[0.21159424],False
352,glass microscope and telescope renewed energy classificatory natural history great,revival,literature,[0.16063029],False
353,of forty four miles per hour from onward railways multiplied,by,and,[0.5256642],False
354,these conflicts of the powers and princes were going on,europe,the,[0.21090256],False
355,interpreting the record of the rocks early rolling stock on,the,the,[0.92713743],True
356,full force the latter half of the nineteenth century it,process,the,[0.12149394],False
357,the congress of vienna there insurrection of the greeks against,the,the,[0.66278195],True
358,material knowledge throughout the seventeenth and eighteenth centuries and the,opening,first,[0.03866584],False
359,scientific process could not have begun greece and could not,have,tell,[0.09105586],False
360,still remains to be realized europe is still netted boundaries,drawn,of,[0.20356423],False
361,patchwork of the treaty of vienna and while the sailing,ship,ship,[0.5569348],True
362,timid and conservative learning lacking initiative and resistent to innovation,unless,styria,[0.03936938],False
363,geology—foreshadowed by aristotle and anticipated by leonardo vinci —began its,great,great,[0.23820673],True
364,we have already noted the formation of the royal society,and,of,[0.3052117],False
365,railways reduced this journey for any ordinary traveller to less,than,than,[0.5543368],True
366,thought very profoundly during this period these reactions were to,come,have,[0.1064219],False
367,and english at the battle of navarino and the tsar,invaded,died,[0.02722872],False
368,miles per hour from onward railways multiplied by the middle,of,of,[0.60356903],True
369,significance of that possibility europe still remains to be realized,europe,by,[0.11413842],False
370,about matter and motion much mathematical advance systematic development of,the,the,[0.27944976],True
371,same maximum rates of travel as held good between rome,and,and,[0.20920081],True
372,eighteenth centuries and the opening years of the nineteenth century,while,that,[0.15156543],False
373,world steady growth of knowledge and general clearing up of,men,the,[0.16193],False
374,and anticipated by leonardo vinci —began its great task of,interpreting,the,[0.08381265],False
375,over europe early travelling on the liverpool and manchester railway,early,the,[0.30924252],False
376,anatomical science the science of geology—foreshadowed by aristotle and anticipated,by,and,[0.21779215],False
377,action the turkish fleet destroyed by the french and english,at,were,[0.17767058],False
378,by leonardo vinci —began its great task of interpreting the,record,rocks,[0.1161273],False
379,are now roumania and serbia part of the jugo slav,region,people,[0.24244602],False
380,portrait of napoleon coronation portrait of napoleon coronation from print,the,the,[0.9196341],True
381,the belgians monarch leopold of saxe coburg gotha there were,ineffectual,freed,[0.01787557],False
382,made it possible to carry out administrative work areas ten,times,days,[0.19026129],False
383,the progress of physical science reacted upon metallurgy improved metallurgy,affording,affording,[0.13452305],True
384,revolted against its dutch association the kingdom of the netherlands,the,and,[0.39726105],False
385,were about the same maximum rates of travel as held,good,it,[0.07224087],False
386,century network of railways had spread all over europe early,travelling,asia,[0.01788846],False
387,machinery on new scale and new abundance appeared to revolutionize,industry,its,[0.08625228],False
388,steady growth of knowledge and general clearing up of men,’,and,[0.32588723],False
389,done this distance twice the time these were about the,same,martians,[0.06541894],False
390,disconnected from political life and producing throughout the seventeenth and,eighteenth,eighteenth,[0.75694686],True
391,museum french speaking belgium stirred up by the current revolution,france,the,[0.08174153],False
392,near vilna to paris hours this journey of about miles,he,from,[0.15156402],False
393,that one of the most popular songs germany during this,period,period,[0.612551],True
394,not leading part the philosophical and scientific thought of this,period,period,[0.16176875],True
395,not have been renewed europe the universities played part but,not,the,[0.29664797],False
396,of the nineteenth century it process that went on chiefly,small,of,[0.19761588],False
397,and much more serious one russian poland republican government held,out,on,[0.18642402],False
398,stirred up by the current revolution france revolted against its,dutch,zenith,[0.01969476],False
399,had long been fixed condition of human life the maximum,rate,of,[0.5535058],False
400,early travelling on the liverpool and manchester railway here sudden,change,had,[0.04934983],False
401,for greece one prince otto of bavaria and christian governors,were,were,[0.38992378],True
