,Sequencen,True next word,Predicted word,Predictions,Correct
67,state religion map europe after the congress of vienna there,insurrection,insurrection,[0.09266494],True
73,out of existence with great violence and cruelty the polish,language,language,[0.24850516],True
76,gentleman ” the scientific process could not have begun greece,and,and,[0.22391093],True
77,upon metallurgy improved metallurgy affording the possibility of larger and,bolder,bolder,[0.09337907],True
80,a the steamboat if anything little ahead of the steam,engine,engine,[0.20758757],True
83,and manchester railway early travelling on the liverpool and manchester,railway,railway,[0.75919396],True
84,sea american the phœnix which went from new york hoboken,to,to,[0.8761825],True
85,gave the belgians monarch leopold of saxe coburg gotha there,were,were,[0.6550056],True
88,with great violence and cruelty the polish language banned and,the,the,[0.6170755],True
92,still netted boundaries drawn the horse and road era america,the,the,[0.6349568],True
94,and russia took joint action the turkish fleet destroyed by,the,the,[0.83016086],True
95,treaty of adrianople greece declared free but she not permitted,to,to,[0.7533592],True
96,slav region much blood had still to run however before,the,the,[0.26210475],True
99,opened and stephenson ’ s “ rocket ” with thirteen,ton,ton,[0.49488047],True
103,english at the battle of navarino and the tsar invaded,turkey,turkey,[0.2621014],True
106,this journey of about miles he travelling with every conceivable,advantage,advantage,[0.02614903],True
108,travelling on the liverpool and manchester railway early travelling on,the,the,[0.7337424],True
110,engine its earlier phases there steamboat the charlotte dundas on,the,the,[0.04794157],True
111,transport after the russian disaster napoleon travelled from near vilna,to,to,[0.79992837],True
115,substituted for the roman catholic as the state religion map,europe,europe,[0.27689585],True
119,of human life the maximum rate of land transport after,the,the,[0.23542981],True
122,anticipated by leonardo vinci —began its great task of interpreting,the,the,[0.9456995],True
123,association the kingdom of the netherlands the powers terrified at,the,the,[0.38589656],True
130,europe looked on liberal opinion protested against this inactivity volunteers,from,from,[0.793117],True
131,spread all over europe early travelling on the liverpool and,manchester,manchester,[0.71846277],True
134,throughout the seventeenth and eighteenth centuries and the opening years,of,of,[0.9346984],True
136,railways had spread all over europe early travelling on the,liverpool,liverpool,[0.07531587],True
137,and gave the belgians monarch leopold of saxe coburg gotha,there,there,[0.33840486],True
140,by the french and english at the battle of navarino,and,and,[0.7127437],True
141,physical science reacted upon metallurgy improved metallurgy affording the possibility,of,of,[0.988591],True
142,could not have done this distance twice the time these,were,were,[0.12514237],True
144,had spread all over europe early travelling on the liverpool,and,and,[0.8194415],True
153,four miles per hour from onward railways multiplied by the,middle,middle,[0.04480918],True
157,of railways had spread all over europe early travelling on,the,the,[0.66989756],True
161,set up the danubian provinces which are now roumania and,serbia,serbia,[0.07265078],True
162,twice the time these were about the same maximum rates,of,of,[0.9787148],True
165,language banned and the greek orthodox church substituted for the,roman,roman,[0.24175487],True
166,first days of the railway early rolling stock on the,liverpool,liverpool,[0.1459462],True
171,or of annexation to france hurried to pacify this situation,and,and,[0.13183568],True
175,distance twice the time these were about the same maximum,rates,rates,[0.840954],True
177,of the rocks early rolling stock on the liverpool and,manchester,manchester,[0.79581404],True
179,it went on disconnected from political life and producing throughout,the,the,[0.84448296],True
181,journey of about miles he travelling with every conceivable advantage,and,and,[0.2628725],True
184,more serious one russian poland republican government held out warsaw,for,for,[0.640036],True
193,’ s “ rocket ” with thirteen ton train got,up,up,[0.3427012],True
194,of about miles he travelling with every conceivable advantage and,he,he,[0.01543978],True
197,of bavaria and christian governors were set up the danubian,provinces,provinces,[0.35731986],True
199,small world of prosperous and independent spirited people without what,the,the,[0.2878177],True
202,and scientific thought of this period endowed learning is apt,to,to,[0.7874914],True
208,of europe looked on liberal opinion protested against this inactivity,volunteers,volunteers,[0.067435],True
209,annexation to france hurried to pacify this situation and gave,the,the,[0.4763456],True
210,would otherwise have been impossible the steamboat clermont a the,steamboat,steamboat,[0.02930113],True
211,german king found for greece one prince otto of bavaria,and,and,[0.8119627],True
214,the liverpool and manchester railway early travelling on the liverpool,and,and,[0.7304195],True
218,engine to transport and made the first locomotive the first,railway,railway,[0.07896749],True
219,were to come later and only their full force the,latter,latter,[0.02098779],True
221,religion map europe after the congress of vienna there insurrection,of,of,[0.6347874],True
226,steam engine its earlier phases there steamboat the charlotte dundas,on,on,[0.33870086],True
227,the polish language banned and the greek orthodox church substituted,for,for,[0.5642084],True
230,spoken there the german fatherland portrait of napoleon coronation portrait,of,of,[0.9511967],True
231,liverpool and manchester railway the first days of the railway,the,the,[0.371375],True
232,danubian provinces which are now roumania and serbia part of,the,the,[0.8505817],True
233,the treaty of westphalia changing kaleidoscopically into the patchwork of,the,the,[0.8147018],True
235,of the treaty of westphalia changing kaleidoscopically into the patchwork,of,of,[0.94131905],True
236,spreading european influence throughout the world steady growth of knowledge,and,and,[0.6424856],True
238,bavaria and christian governors were set up the danubian provinces,which,which,[0.22282407],True
239,united states of america sprawling westward it meant the possibility,of,of,[0.984219],True
243,belgians monarch leopold of saxe coburg gotha there were ineffectual,revolts,revolts,[0.94742155],True
245,succeeded alexander and then stamped out of existence with great,violence,violence,[0.05826288],True
248,ideas about matter and motion much mathematical advance systematic development,of,of,[0.80692595],True
254,any ordinary traveller to less than forty eight hours that,is,is,[0.08378685],True
257,this situation and gave the belgians monarch leopold of saxe,coburg,coburg,[0.11135532],True
258,had hitherto been workable under one administration the full significance,of,of,[0.9491306],True
259,on the liverpool and manchester railway the first days of,the,the,[0.73074144],True
267,powers terrified at the possibilities of republic or of annexation,to,to,[0.66717565],True
269,century then suddenly came this tremendous change the railways reduced,this,this,[0.0882029],True
271,with independent minds we have already noted the formation of,the,the,[0.40693465],True
272,the formation of the royal society and its work realizing,the,the,[0.60462564],True
276,leopold of saxe coburg gotha there were ineffectual revolts italy,and,and,[0.5575477],True
277,sailing ship spreading european influence throughout the world steady growth,of,of,[0.7241031],True
279,firth of clyde canal and american named fulton had steamer,the,the,[0.30326298],True
283,traditions german king found for greece one prince otto of,bavaria,bavaria,[0.1594393],True
284,the science of geology—foreshadowed by aristotle and anticipated by leonardo,vinci,vinci,[0.70046663],True
293,travel as held good between rome and gaul the first,century,century,[0.38328376],True
296,forty four miles per hour from onward railways multiplied by,the,the,[0.87013257],True
297,ahead of the steam engine its earlier phases there steamboat,the,the,[0.2722323],True
301,science the science of geology—foreshadowed by aristotle and anticipated by,leonardo,leonardo,[0.07390855],True
303,if anything little ahead of the steam engine its earlier,phases,phases,[0.03276607],True
305,german tongue spoken there the german fatherland portrait of napoleon,coronation,coronation,[0.8237205],True
306,turkish fleet destroyed by the french and english at the,battle,battle,[0.03433432],True
315,as the state religion map europe after the congress of,vienna,vienna,[0.20042996],True
317,the roman catholic as the state religion map europe after,the,the,[0.3666766],True
318,abundance appeared to revolutionize industry trevithick adapted the watt engine,to,to,[0.45430726],True
322,sudden change what had long been fixed condition of human,life,life,[0.1876318],True
323,new abundance appeared to revolutionize industry trevithick adapted the watt,engine,engine,[0.10753912],True
332,per hour from onward railways multiplied by the middle of,the,the,[0.86494833],True
333,of the royal society and its work realizing the dream,of,of,[0.8631881],True
338,is apt to be timid and conservative learning lacking initiative,and,and,[0.26164848],True
339,the world which they lived progress the european and europeanized,world,world,[0.3745017],True
341,the full significance of that possibility europe still remains to,be,be,[0.3290981],True
346,netherlands the powers terrified at the possibilities of republic or,of,of,[0.07152693],True
347,french speaking belgium stirred up by the current revolution france,revolted,revolted,[0.16854201],True
349,be timid and conservative learning lacking initiative and resistent to,innovation,innovation,[0.02003528],True
355,interpreting the record of the rocks early rolling stock on,the,the,[0.92713743],True
357,the congress of vienna there insurrection of the greeks against,the,the,[0.66278195],True
361,patchwork of the treaty of vienna and while the sailing,ship,ship,[0.5569348],True
363,geology—foreshadowed by aristotle and anticipated by leonardo vinci —began its,great,great,[0.23820673],True
365,railways reduced this journey for any ordinary traveller to less,than,than,[0.5543368],True
368,miles per hour from onward railways multiplied by the middle,of,of,[0.60356903],True
370,about matter and motion much mathematical advance systematic development of,the,the,[0.27944976],True
371,same maximum rates of travel as held good between rome,and,and,[0.20920081],True
380,portrait of napoleon coronation portrait of napoleon coronation from print,the,the,[0.9196341],True
383,the progress of physical science reacted upon metallurgy improved metallurgy,affording,affording,[0.13452305],True
390,disconnected from political life and producing throughout the seventeenth and,eighteenth,eighteenth,[0.75694686],True
393,that one of the most popular songs germany during this,period,period,[0.612551],True
394,not leading part the philosophical and scientific thought of this,period,period,[0.16176875],True
401,for greece one prince otto of bavaria and christian governors,were,were,[0.38992378],True
407,one prince otto of bavaria and christian governors were set,up,up,[0.32676274],True
412,full significance of that possibility europe still remains to be,realized,realized,[0.02486714],True
413,stockton and darlington opened and stephenson ’ s “ rocket,”,”,[0.79160917],True
415,and eighteenth centuries and the opening years of the nineteenth,century,century,[0.9856743],True
416,revival of anatomical science the science of geology—foreshadowed by aristotle,and,and,[0.5523894],True
417,later and only their full force the latter half of,the,the,[0.54706585],True
430,impossible the steamboat clermont a the steamboat clermont a the,steamboat,steamboat,[0.05008868],True
432,catholic as the state religion map europe after the congress,of,of,[0.9869731],True
433,the danubian provinces which are now roumania and serbia part,of,of,[0.93680894],True
434,society and its work realizing the dream of bacon ’,s,s,[0.17319022],True
437,men ’ ideas about the world which they lived progress,the,the,[0.13437395],True
438,continuous access to washington however far the frontier travelled across,the,the,[0.8257723],True
440,only their full force the latter half of the nineteenth,century,century,[0.9486086],True
441,first locomotive the first railway between stockton and darlington opened,and,and,[0.43707],True
444,on liberal opinion protested against this inactivity volunteers from every,european,european,[0.08232195],True
448,onward railways multiplied by the middle of the century network,of,of,[0.92688566],True
451,part but not leading part the philosophical and scientific thought,of,of,[0.17789204],True
455,battle of navarino and the tsar invaded turkey by the,treaty,treaty,[0.02948267],True
458,free but she not permitted to resume her ancient republican,traditions,traditions,[0.11125819],True
459,america sprawling westward it meant the possibility of continuous access,to,to,[0.5893574],True
461,affording the possibility of larger and bolder handling of masses,of,of,[0.915043],True
469,about tenth of what they had been they made it,possible,possible,[0.07548571],True
470,reacted upon metallurgy improved metallurgy affording the possibility of larger,and,and,[0.40409678],True
471,existence with great violence and cruelty the polish language banned,and,and,[0.67209315],True
473,had steamer the clermont with british built engines upon the,hudson,hudson,[0.03412483],True
475,on new scale and new abundance appeared to revolutionize industry,trevithick,trevithick,[0.16948642],True
476,of napoleon coronation portrait of napoleon coronation from print the,british,british,[0.38762134],True
479,protested against this inactivity volunteers from every european country joined,the,the,[0.46218562],True
481,task of interpreting the record of the rocks early rolling,stock,stock,[0.07634506],True
483,noted the formation of the royal society and its work,realizing,realizing,[0.05262353],True
485,stock on the liverpool and manchester railway the first days,of,of,[0.49362203],True
487,part of the jugo slav region much blood had still,to,to,[0.24663895],True
488,realizing the dream of bacon ’ s new atlantis throughout,the,the,[0.9516385],True
489,producing throughout the seventeenth and eighteenth centuries no striking immediate,results,results,[0.13849118],True
490,scale that would otherwise have been impossible the steamboat clermont,a,a,[0.08037321],True
491,the seventeenth and eighteenth centuries and the opening years of,the,the,[0.43025076],True
493,wherever the german tongue spoken there the german fatherland portrait,of,of,[0.87261105],True
496,powers and princes were going on europe and the patchwork,of,of,[0.979512],True
500,the “ private gentleman ” the scientific process could not,have,have,[0.22862914],True
501,on the liverpool and manchester railway the first days of,the,the,[0.73074144],True
508,fleet destroyed by the french and english at the battle,of,of,[0.9760366],True
518,of america sprawling westward it meant the possibility of continuous,access,access,[0.15284628],True
519,the rocks early rolling stock on the liverpool and manchester,railway,railway,[0.8085867],True
520,maximum rate of land transport after the russian disaster napoleon,travelled,travelled,[0.1062255],True
521,initiative and resistent to innovation unless it has the spur,of,of,[0.9839749],True
524,map europe after the congress of vienna there insurrection of,the,the,[0.71718436],True
531,governors were set up the danubian provinces which are now,roumania,roumania,[0.17469032],True
540,to france hurried to pacify this situation and gave the,belgians,belgians,[0.02126401],True
542,have been impossible the steamboat clermont a the steamboat clermont,a,a,[0.05147239],True
543,into the patchwork of the treaty of vienna and while,the,the,[0.39296293],True
544,print the british museum french speaking belgium stirred up by,the,the,[0.6933064],True
549,throughout the eighteenth century there much clearing up of general,ideas,ideas,[0.0876465],True
554,german fatherland portrait of napoleon coronation portrait of napoleon coronation,from,from,[0.06981458],True
555,learning is apt to be timid and conservative learning lacking,initiative,initiative,[0.68591404],True
562,industry trevithick adapted the watt engine to transport and made,the,the,[0.32684162],True
565,that had hitherto been workable under one administration the full,significance,significance,[0.32010195],True
570,already noted the formation of the royal society and its,work,work,[0.02509316],True
571,it process that went on chiefly small world of prosperous,and,and,[0.55588216],True
575,chief european distances to about tenth of what they had,been,been,[0.11070116],True
577,lvii the development of material knowledge throughout the seventeenth and,eighteenth,eighteenth,[0.9526702],True
578,built engines upon the hudson river above new york the,first,first,[0.19870834],True
579,ordinary traveller could not have done this distance twice the,time,time,[0.06958644],True
581,progress of physical science reacted upon metallurgy improved metallurgy affording,the,the,[0.9390767],True
582,railway here sudden change what had long been fixed condition,of,of,[0.61598706],True
583,europe after the congress of vienna there insurrection of the,greeks,greeks,[0.070053],True
584,the battle of navarino and the tsar invaded turkey by,the,the,[0.7825982],True
587,ineffectual revolts italy and germany and much more serious one,russian,russian,[0.22294044],True
596,ten times as great as any that had hitherto been,workable,workable,[0.14679697],True
599,were set up the danubian provinces which are now roumania,and,and,[0.43359458],True
604,hour ordinary traveller could not have done this distance twice,the,the,[0.37133133],True
605,most popular songs germany during this period declared that wherever,the,the,[0.45661193],True
606,of the most popular songs germany during this period declared,that,that,[0.34908438],True
608,scale and new abundance appeared to revolutionize industry trevithick adapted,the,the,[0.65940833],True
610,phases there steamboat the charlotte dundas on the firth of,clyde,clyde,[0.4538862],True
612,and only their full force the latter half of the,nineteenth,nineteenth,[0.02485853],True
614,lands lvii the development of material knowledge throughout the seventeenth,and,and,[0.8539594],True
616,horse and road era america the effects were immediate to,the,the,[0.21294759],True
618,gotha there were ineffectual revolts italy and germany and much,more,more,[0.27578193],True
626,spur of contact with independent minds we have already noted,the,the,[0.09234674],True
628,of the railway early rolling stock on the liverpool and,manchester,manchester,[0.7756096],True
633,possibility of larger and bolder handling of masses of metal,and,and,[0.6541705],True
634,of navarino and the tsar invaded turkey by the treaty,of,of,[0.99191177],True
635,navarino and the tsar invaded turkey by the treaty of,adrianople,adrianople,[0.514489],True
637,of existence with great violence and cruelty the polish language,banned,banned,[0.38168696],True
638,and at last britain france and russia took joint action,the,the,[0.34278497],True
641,and while the sailing ship spreading european influence throughout the,world,world,[0.15597478],True
642,against the turks for six years they fought desperate while,the,the,[0.18015614],True
643,volunteers from every european country joined the insurgents and at,last,last,[0.36416164],True
648,change the railways reduced this journey for any ordinary traveller,to,to,[0.13957506],True
649,from political life and producing throughout the seventeenth and eighteenth,centuries,centuries,[0.9641584],True
650,from these lands lvii the development of material knowledge throughout,the,the,[0.9168345],True
654,the patchwork of the treaty of westphalia changing kaleidoscopically into,the,the,[0.95949745],True
657,of saxe coburg gotha there were ineffectual revolts italy and,germany,germany,[0.03228555],True
660,its great task of interpreting the record of the rocks,early,early,[0.08516],True
666,this inactivity volunteers from every european country joined the insurgents,and,and,[0.09794974],True
673,locomotive the first railway between stockton and darlington opened and,stephenson,stephenson,[0.90480137],True
674,on the firth of clyde canal and american named fulton,had,had,[0.1810431],True
677,the world steady growth of knowledge and general clearing up,of,of,[0.41979825],True
681,british museum french speaking belgium stirred up by the current,revolution,revolution,[0.03323836],True
683,journey for any ordinary traveller to less than forty eight,hours,hours,[0.74008036],True
688,going on europe and the patchwork of the treaty of,westphalia,westphalia,[0.32071087],True
689,without what the english call the “ private gentleman ”,the,the,[0.18266968],True
693,about the world which they lived progress the european and,europeanized,europeanized,[0.06386196],True
695,ton train got up to speed of forty four miles,per,per,[0.70796895],True
696,aristotle and anticipated by leonardo vinci —began its great task,of,of,[0.23088266],True
697,—began its great task of interpreting the record of the,rocks,rocks,[0.5179338],True
702,classificatory natural history great revival of anatomical science the science,of,of,[0.96885824],True
708,early rolling stock on the liverpool and manchester railway the,first,first,[0.5698845],True
709,however before the turk altogether expelled from these lands lvii,the,the,[0.92848605],True
710,s new atlantis throughout the eighteenth century there much clearing,up,up,[0.17649338],True
711,as any that had hitherto been workable under one administration,the,the,[0.65078247],True
714,the first days of the railway early rolling stock on,the,the,[0.7034888],True
720,on disconnected from political life and producing throughout the seventeenth,and,and,[0.61501086],True
726,hurried to pacify this situation and gave the belgians monarch,leopold,leopold,[0.43420857],True
730,that would otherwise have been impossible the steamboat clermont a,the,the,[0.18351147],True
732,of optical glass microscope and telescope renewed energy classificatory natural,history,history,[0.42508647],True
734,treaty of westphalia changing kaleidoscopically into the patchwork of the,treaty,treaty,[0.15663303],True
739,france hurried to pacify this situation and gave the belgians,monarch,monarch,[0.09479187],True
741,which are now roumania and serbia part of the jugo,slav,slav,[0.63548106],True
743,steamboat clermont a the steamboat if anything little ahead of,the,the,[0.38657856],True
744,railway early rolling stock on the liverpool and manchester railway,the,the,[0.41386557],True
745,republican traditions german king found for greece one prince otto,of,of,[0.46045265],True
747,stock on the liverpool and manchester railway the first days,of,of,[0.49362203],True
752,current revolution france revolted against its dutch association the kingdom,of,of,[0.843851],True
753,the development of material knowledge throughout the seventeenth and eighteenth,centuries,centuries,[0.92774373],True
755,and princes were going on europe and the patchwork of,the,the,[0.5622436],True
756,vinci —began its great task of interpreting the record of,the,the,[0.8837529],True
759,be realized europe is still netted boundaries drawn the horse,and,and,[0.49212614],True
760,the opening years of the nineteenth century while these conflicts,of,of,[0.6787535],True
761,the steamboat clermont a the steamboat if anything little ahead,of,of,[0.74143565],True
762,development of the use of optical glass microscope and telescope,renewed,renewed,[0.024843],True
768,travelled across the continent it meant unity sustained on scale,that,that,[0.13994014],True
773,knowledge and general clearing up of men ’ ideas about,the,the,[0.2943723],True
775,polish language banned and the greek orthodox church substituted for,the,the,[0.8923759],True
776,railway the progress of physical science reacted upon metallurgy improved,metallurgy,metallurgy,[0.7906409],True
780,leonardo vinci —began its great task of interpreting the record,of,of,[0.2696754],True
781,the first railway between stockton and darlington opened and stephenson,’,’,[0.6150919],True
784,europeanized world it went on disconnected from political life and,producing,producing,[0.20657839],True
785,at the battle of navarino and the tsar invaded turkey,by,by,[0.2275822],True
787,minds we have already noted the formation of the royal,society,society,[0.10376622],True
788,long been fixed condition of human life the maximum rate,of,of,[0.90590024],True
789,phœnix which went from new york hoboken to philadelphia too,the,the,[0.430034],True
790,the turk altogether expelled from these lands lvii the development,of,of,[0.9849744],True
791,the german fatherland portrait of napoleon coronation portrait of napoleon,coronation,coronation,[0.64433205],True
796,come later and only their full force the latter half,of,of,[0.858514],True
798,improved metallurgy affording the possibility of larger and bolder handling,of,of,[0.47358072],True
799,steamer the clermont with british built engines upon the hudson,river,river,[0.296342],True
802,to pacify this situation and gave the belgians monarch leopold,of,of,[0.8893529],True
803,continent it meant unity sustained on scale that would otherwise,have,have,[0.41797954],True
805,on scale that would otherwise have been impossible the steamboat,clermont,clermont,[0.07456691],True
811,run however before the turk altogether expelled from these lands,lvii,lvii,[0.82778436],True
816,and motion much mathematical advance systematic development of the use,of,of,[0.93852735],True
818,were going on europe and the patchwork of the treaty,of,of,[0.9699608],True
820,revolts italy and germany and much more serious one russian,poland,poland,[0.02114983],True
821,own speech is it any wonder that one of the,most,most,[0.14195856],True
824,is it any wonder that one of the most popular,songs,songs,[0.3522829],True
825,that is to say they reduced the chief european distances,to,to,[0.24323082],True
826,it meant unity sustained on scale that would otherwise have,been,been,[0.2565504],True
829,renewed energy classificatory natural history great revival of anatomical science,the,the,[0.26633543],True
830,and europeanized world it went on disconnected from political life,and,and,[0.21608813],True
831,ancient republican traditions german king found for greece one prince,otto,otto,[0.75928754],True
833,the french and english at the battle of navarino and,the,the,[0.74826664],True
835,the steam engine its earlier phases there steamboat the charlotte,dundas,dundas,[0.8626374],True
838,and germany and much more serious one russian poland republican,government,government,[0.07389196],True
842,than forty eight hours that is to say they reduced,the,the,[0.30254072],True
844,its work realizing the dream of bacon ’ s new,atlantis,atlantis,[0.26310575],True
846,areas ten times as great as any that had hitherto,been,been,[0.26280126],True
848,prince otto of bavaria and christian governors were set up,the,the,[0.40704086],True
849,conflicts of the powers and princes were going on europe,and,and,[0.3162011],True
854,endowed learning is apt to be timid and conservative learning,lacking,lacking,[0.2870291],True
865,affecting popular thought very profoundly during this period these reactions,were,were,[0.6149741],True
866,progress the european and europeanized world it went on disconnected,from,from,[0.3439875],True
868,era america the effects were immediate to the united states,of,of,[0.60083866],True
869,turks for six years they fought desperate while the governments,of,of,[0.7677681],True
871,prosperous and independent spirited people without what the english call,the,the,[0.3806779],True
873,put to sea american the phœnix which went from new,york,york,[0.4413032],True
875,gaul the first century then suddenly came this tremendous change,the,the,[0.18565255],True
881,with british built engines upon the hudson river above new,york,york,[0.45262393],True
886,of westphalia changing kaleidoscopically into the patchwork of the treaty,of,of,[0.97288865],True
890,to be timid and conservative learning lacking initiative and resistent,to,to,[0.8406972],True
895,fulton had steamer the clermont with british built engines upon,the,the,[0.8857616],True
909,and made the first locomotive the first railway between stockton,and,and,[0.7664387],True
914,alexander and then stamped out of existence with great violence,and,and,[0.13821787],True
916,the greek orthodox church substituted for the roman catholic as,the,the,[0.29158056],True
917,first days of the railway the progress of physical science,reacted,reacted,[0.11314249],True
918,the railway early rolling stock on the liverpool and manchester,railway,railway,[0.8549508],True
919,rates of travel as held good between rome and gaul,the,the,[0.76828295],True
925,and new abundance appeared to revolutionize industry trevithick adapted the,watt,watt,[0.05831839],True
927,watt engine to transport and made the first locomotive the,first,first,[0.4702739],True
928,the scientific process could not have begun greece and could,not,not,[0.23740152],True
929,vienna and while the sailing ship spreading european influence throughout,the,the,[0.76862544],True
930,took joint action the turkish fleet destroyed by the french,and,and,[0.5023985],True
936,its earlier phases there steamboat the charlotte dundas on the,firth,firth,[0.0183835],True
938,road era america the effects were immediate to the united,states,states,[0.5456641],True
939,europe and the patchwork of the treaty of westphalia changing,kaleidoscopically,kaleidoscopically,[0.05941469],True
941,the universities played part but not leading part the philosophical,and,and,[0.49281457],True
942,and bolder handling of masses of metal and other materials,reacted,reacted,[0.9096869],True
947,held out warsaw for year against nicholas who succeeded alexander,and,and,[0.44955948],True
948,there the german fatherland portrait of napoleon coronation portrait of,napoleon,napoleon,[0.09970802],True
949,scientific thought of this period endowed learning is apt to,be,be,[0.8085797],True
950,by the current revolution france revolted against its dutch association,the,the,[0.56824416],True
951,telescope renewed energy classificatory natural history great revival of anatomical,science,science,[0.39536294],True
952,monarch leopold of saxe coburg gotha there were ineffectual revolts,italy,italy,[0.154602],True
954,bolder handling of masses of metal and other materials reacted,upon,upon,[0.69511855],True
959,year against nicholas who succeeded alexander and then stamped out,of,of,[0.246598],True
960,advance systematic development of the use of optical glass microscope,and,and,[0.68871677],True
962,opening years of the nineteenth century while these conflicts of,the,the,[0.7623879],True
965,contact with independent minds we have already noted the formation,of,of,[0.98995703],True
967,resistent to innovation unless it has the spur of contact,with,with,[0.2656106],True
969,steamboat the charlotte dundas on the firth of clyde canal,and,and,[0.5299758],True
972,practical inventions machinery on new scale and new abundance appeared,to,to,[0.3144456],True
973,early travelling on the liverpool and manchester railway early travelling,on,on,[0.06634863],True
974,other materials reacted upon practical inventions machinery on new scale,and,and,[0.5318181],True
975,science of geology—foreshadowed by aristotle and anticipated by leonardo vinci,—began,—began,[0.9352114],True
976,been impossible the steamboat clermont a the steamboat clermont a,the,the,[0.12245975],True
977,european country joined the insurgents and at last britain france,and,and,[0.5400997],True
978,manchester railway the first days of the railway the progress,of,of,[0.5220202],True
986,rocks early rolling stock on the liverpool and manchester railway,the,the,[0.44478604],True
987,days of the railway the progress of physical science reacted,upon,upon,[0.6520832],True
988,earlier phases there steamboat the charlotte dundas on the firth,of,of,[0.96207225],True
989,nineteenth century it process that went on chiefly small world,of,of,[0.27498466],True
