,Sequencen,True next word,Predicted word,Predictions,Correct
163,rate of land transport after the russian disaster napoleon travelled,from,from,[0.6330468],True
164,on new scale and new abundance appeared to revolutionize industry,trevithick,trevithick,[0.99943465],True
166,on liberal opinion protested against this inactivity volunteers from every,european,european,[0.6257626],True
167,have done this distance twice the time these were about,the,the,[0.37731034],True
168,and europeanized world it went on disconnected from political life,and,and,[0.9211739],True
170,have been impossible the steamboat clermont a the steamboat clermont,a,a,[0.8764728],True
171,of the railway early rolling stock on the liverpool and,manchester,manchester,[0.9998276],True
172,possibility of larger and bolder handling of masses of metal,and,and,[0.68285096],True
173,prosperous and independent spirited people without what the english call,the,the,[0.97005063],True
174,turk altogether expelled from these lands lvii the development of,material,material,[0.09947319],True
177,could not have done this distance twice the time these,were,were,[0.51937515],True
178,liverpool and manchester railway early travelling on the liverpool and,manchester,manchester,[0.9993262],True
179,turks for six years they fought desperate while the governments,of,of,[0.98247725],True
180,belgium stirred up by the current revolution france revolted against,its,its,[0.3206247],True
181,and then stamped out of existence with great violence and,cruelty,cruelty,[0.54870707],True
182,material knowledge throughout the seventeenth and eighteenth centuries and the,opening,opening,[0.56079835],True
183,much clearing up of general ideas about matter and motion,much,much,[0.69022304],True
185,declared free but she not permitted to resume her ancient,republican,republican,[0.46006227],True
187,state religion map europe after the congress of vienna there,insurrection,insurrection,[0.64681506],True
188,and american named fulton had steamer the clermont with british,built,built,[0.19287191],True
189,religion map europe after the congress of vienna there insurrection,of,of,[0.91522306],True
191,republic or of annexation to france hurried to pacify this,situation,situation,[0.89000785],True
192,’ ideas about the world which they lived progress the,european,european,[0.259434],True
193,hours that is to say they reduced the chief european,distances,distances,[0.5342907],True
194,the governments of europe looked on liberal opinion protested against,this,this,[0.4667784],True
195,record of the rocks early rolling stock on the liverpool,and,and,[0.9611511],True
196,france hurried to pacify this situation and gave the belgians,monarch,monarch,[0.9979631],True
197,the rocks early rolling stock on the liverpool and manchester,railway,railway,[0.7470572],True
198,to france hurried to pacify this situation and gave the,belgians,belgians,[0.84319085],True
202,much more serious one russian poland republican government held out,warsaw,warsaw,[0.995443],True
203,insurgents and at last britain france and russia took joint,action,action,[0.36882067],True
204,the possibility of continuous access to washington however far the,frontier,frontier,[0.19429293],True
205,and bolder handling of masses of metal and other materials,reacted,reacted,[0.36085004],True
207,lvii the development of material knowledge throughout the seventeenth and,eighteenth,eighteenth,[0.927337],True
208,sailing ship spreading european influence throughout the world steady growth,of,of,[0.96936506],True
209,europe is still netted boundaries drawn the horse and road,era,era,[0.74588287],True
211,on scale that would otherwise have been impossible the steamboat,clermont,clermont,[0.99677026],True
212,the turkish fleet destroyed by the french and english at,the,the,[0.7473883],True
215,against this inactivity volunteers from every european country joined the,insurgents,insurgents,[0.8900238],True
216,to put to sea american the phœnix which went from,new,new,[0.55339694],True
217,out of existence with great violence and cruelty the polish,language,language,[0.980767],True
218,and resistent to innovation unless it has the spur of,contact,contact,[0.8215853],True
219,greece and could not have been renewed europe the universities,played,played,[0.82091415],True
220,revival of anatomical science the science of geology—foreshadowed by aristotle,and,and,[0.9790101],True
221,growth of knowledge and general clearing up of men ’,ideas,ideas,[0.74453044],True
222,hour ordinary traveller could not have done this distance twice,the,the,[0.6525234],True
224,administrative work areas ten times as great as any that,had,had,[0.24180888],True
225,areas ten times as great as any that had hitherto,been,been,[0.93520206],True
226,meant the possibility of continuous access to washington however far,the,the,[0.60917],True
227,frontier travelled across the continent it meant unity sustained on,scale,scale,[0.6242209],True
228,joint action the turkish fleet destroyed by the french and,english,english,[0.46960875],True
229,systematic development of the use of optical glass microscope and,telescope,telescope,[0.87796307],True
230,the jugo slav region much blood had still to run,however,however,[0.8203841],True
231,little ahead of the steam engine its earlier phases there,steamboat,steamboat,[0.6569111],True
232,say they reduced the chief european distances to about tenth,of,of,[0.929282],True
233,thirteen ton train got up to speed of forty four,miles,miles,[0.81867474],True
234,the spur of contact with independent minds we have already,noted,noted,[0.7036266],True
235,expelled from these lands lvii the development of material knowledge,throughout,throughout,[0.62394035],True
236,museum french speaking belgium stirred up by the current revolution,france,france,[0.5330236],True
238,of the railway the progress of physical science reacted upon,metallurgy,metallurgy,[0.9978442],True
239,however far the frontier travelled across the continent it meant,unity,unity,[0.7958701],True
240,and made the first locomotive the first railway between stockton,and,and,[0.9849427],True
243,the first steamship to put to sea american the phœnix,which,which,[0.7211829],True
244,nineteenth century it process that went on chiefly small world,of,of,[0.21585324],True
245,been renewed europe the universities played part but not leading,part,part,[0.22794397],True
246,resume her ancient republican traditions german king found for greece,one,one,[0.3077738],True
247,coburg gotha there were ineffectual revolts italy and germany and,much,much,[0.88975316],True
248,against the turks for six years they fought desperate while,the,the,[0.970381],True
249,period declared that wherever the german tongue spoken there the,german,german,[0.47873035],True
250,the maximum rate of land transport after the russian disaster,napoleon,napoleon,[0.60396314],True
252,progress the european and europeanized world it went on disconnected,from,from,[0.98465306],True
253,by the current revolution france revolted against its dutch association,the,the,[0.97728556],True
254,the charlotte dundas on the firth of clyde canal and,american,american,[0.73041725],True
255,railways had spread all over europe early travelling on the,liverpool,liverpool,[0.41671306],True
256,they fought desperate while the governments of europe looked on,liberal,liberal,[0.5764332],True
258,powers and princes were going on europe and the patchwork,of,of,[0.9988906],True
260,impossible the steamboat clermont a the steamboat clermont a the,steamboat,steamboat,[0.948107],True
261,engine to transport and made the first locomotive the first,railway,railway,[0.78558725],True
266,rates of travel as held good between rome and gaul,the,the,[0.9849648],True
267,affecting popular thought very profoundly during this period these reactions,were,were,[0.97909224],True
269,provinces which are now roumania and serbia part of the,jugo,jugo,[0.9846644],True
270,anticipated by leonardo vinci —began its great task of interpreting,the,the,[0.9955012],True
273,days of the railway the progress of physical science reacted,upon,upon,[0.52719754],True
274,already noted the formation of the royal society and its,work,work,[0.6453747],True
276,first century then suddenly came this tremendous change the railways,reduced,reduced,[0.951358],True
277,hours this journey of about miles he travelling with every,conceivable,conceivable,[0.9037144],True
278,now roumania and serbia part of the jugo slav region,much,much,[0.9233851],True
280,great violence and cruelty the polish language banned and the,greek,greek,[0.9092246],True
281,the philosophical and scientific thought of this period endowed learning,is,is,[0.71378654],True
282,american named fulton had steamer the clermont with british built,engines,engines,[0.99432075],True
283,the seventeenth and eighteenth centuries no striking immediate results political,life,life,[0.15250033],True
284,we have already noted the formation of the royal society,and,and,[0.49824917],True
285,first railway between stockton and darlington opened and stephenson ’,s,s,[0.9737168],True
286,of prosperous and independent spirited people without what the english,call,call,[0.42456973],True
287,polish language banned and the greek orthodox church substituted for,the,the,[0.98632854],True
288,the greek orthodox church substituted for the roman catholic as,the,the,[0.3773416],True
289,the record of the rocks early rolling stock on the,liverpool,liverpool,[0.9509656],True
291,princes were going on europe and the patchwork of the,treaty,treaty,[0.82751393],True
292,the danubian provinces which are now roumania and serbia part,of,of,[0.9487953],True
293,carry out administrative work areas ten times as great as,any,any,[0.5197157],True
294,this distance twice the time these were about the same,maximum,maximum,[0.5141492],True
297,gentleman ” the scientific process could not have begun greece,and,and,[0.7223201],True
298,revolution france revolted against its dutch association the kingdom of,the,the,[0.725008],True
299,firth of clyde canal and american named fulton had steamer,the,the,[0.98462206],True
300,italy and germany and much more serious one russian poland,republican,republican,[0.5511227],True
301,throughout the world steady growth of knowledge and general clearing,up,up,[0.7754156],True
302,railways reduced this journey for any ordinary traveller to less,than,than,[0.4658611],True
303,portrait of napoleon coronation from print the british museum french,speaking,speaking,[0.42975435],True
305,full significance of that possibility europe still remains to be,realized,realized,[0.8145751],True
306,remains to be realized europe is still netted boundaries drawn,the,the,[0.91824675],True
307,existence with great violence and cruelty the polish language banned,and,and,[0.99857223],True
308,rocket ” with thirteen ton train got up to speed,of,of,[0.7495304],True
311,great revival of anatomical science the science of geology—foreshadowed by,aristotle,aristotle,[0.70420235],True
314,as great as any that had hitherto been workable under,one,one,[0.46226758],True
315,from political life and producing throughout the seventeenth and eighteenth,centuries,centuries,[0.99914753],True
316,the turk altogether expelled from these lands lvii the development,of,of,[0.9976071],True
317,far the frontier travelled across the continent it meant unity,sustained,sustained,[0.27612367],True
318,there steamboat the charlotte dundas on the firth of clyde,canal,canal,[0.98432934],True
321,the german fatherland portrait of napoleon coronation portrait of napoleon,coronation,coronation,[0.99740136],True
323,land transport after the russian disaster napoleon travelled from near,vilna,vilna,[0.8630938],True
325,watt engine to transport and made the first locomotive the,first,first,[0.97900134],True
326,treaty of vienna and while the sailing ship spreading european,influence,influence,[0.549006],True
327,the dream of bacon ’ s new atlantis throughout the,eighteenth,eighteenth,[0.7843226],True
328,the powers and princes were going on europe and the,patchwork,patchwork,[0.3261501],True
329,and other materials reacted upon practical inventions machinery on new,scale,scale,[0.9859993],True
330,spoken there the german fatherland portrait of napoleon coronation portrait,of,of,[0.92213756],True
331,annexation to france hurried to pacify this situation and gave,the,the,[0.60209274],True
332,every conceivable advantage and he averaged under miles hour ordinary,traveller,traveller,[0.7716234],True
334,first locomotive the first railway between stockton and darlington opened,and,and,[0.9918881],True
335,the progress of physical science reacted upon metallurgy improved metallurgy,affording,affording,[0.99925],True
336,any ordinary traveller to less than forty eight hours that,is,is,[0.27511904],True
337,effects were immediate to the united states of america sprawling,westward,westward,[0.6536663],True
338,stamped out of existence with great violence and cruelty the,polish,polish,[0.6191168],True
339,of railways had spread all over europe early travelling on,the,the,[0.6262068],True
340,orthodox church substituted for the roman catholic as the state,religion,religion,[0.9760316],True
342,monarch leopold of saxe coburg gotha there were ineffectual revolts,italy,italy,[0.95407957],True
344,and the tsar invaded turkey by the treaty of adrianople,greece,greece,[0.3150136],True
349,small world of prosperous and independent spirited people without what,the,the,[0.75215316],True
350,railways multiplied by the middle of the century network of,railways,railways,[0.37680578],True
351,while these conflicts of the powers and princes were going,on,on,[0.47832635],True
353,renewed europe the universities played part but not leading part,the,the,[0.6521309],True
354,steamship to put to sea american the phœnix which went,from,from,[0.57732236],True
355,s new atlantis throughout the eighteenth century there much clearing,up,up,[0.88025296],True
357,napoleon coronation from print the british museum french speaking belgium,stirred,stirred,[0.84607095],True
360,road era america the effects were immediate to the united,states,states,[0.61802334],True
362,leopold of saxe coburg gotha there were ineffectual revolts italy,and,and,[0.9894744],True
363,europeanized world it went on disconnected from political life and,producing,producing,[0.9054939],True
365,that went on chiefly small world of prosperous and independent,spirited,spirited,[0.33230218],True
366,charlotte dundas on the firth of clyde canal and american,named,named,[0.927061],True
367,the liverpool and manchester railway early travelling on the liverpool,and,and,[0.9939237],True
368,’ s “ rocket ” with thirteen ton train got,up,up,[0.392261],True
369,independent minds we have already noted the formation of the,royal,royal,[0.7694163],True
370,named fulton had steamer the clermont with british built engines,upon,upon,[0.9432309],True
371,map europe after the congress of vienna there insurrection of,the,the,[0.8108006],True
372,for year against nicholas who succeeded alexander and then stamped,out,out,[0.39064226],True
373,napoleon coronation portrait of napoleon coronation from print the british,museum,museum,[0.9917882],True
374,the belgians monarch leopold of saxe coburg gotha there were,ineffectual,ineffectual,[0.89919275],True
375,clearing up of general ideas about matter and motion much,mathematical,mathematical,[0.4779405],True
376,centuries and the opening years of the nineteenth century while,these,these,[0.6839301],True
378,it meant unity sustained on scale that would otherwise have,been,been,[0.3669463],True
379,of material knowledge throughout the seventeenth and eighteenth centuries and,the,the,[0.55936176],True
380,if anything little ahead of the steam engine its earlier,phases,phases,[0.9590422],True
381,contact with independent minds we have already noted the formation,of,of,[0.96504164],True
382,and manchester railway the first days of the railway early,rolling,rolling,[0.9457448],True
384,and anticipated by leonardo vinci —began its great task of,interpreting,interpreting,[0.9955525],True
385,hour from onward railways multiplied by the middle of the,century,century,[0.35787806],True
387,knowledge and general clearing up of men ’ ideas about,the,the,[0.94536424],True
389,reactions were to come later and only their full force,the,the,[0.8103364],True
390,one russian poland republican government held out warsaw for year,against,against,[0.56544876],True
391,to be timid and conservative learning lacking initiative and resistent,to,to,[0.96320397],True
393,he travelling with every conceivable advantage and he averaged under,miles,miles,[0.3455972],True
394,these were about the same maximum rates of travel as,held,held,[0.58957857],True
395,possibilities of republic or of annexation to france hurried to,pacify,pacify,[0.99052143],True
396,made it possible to carry out administrative work areas ten,times,times,[0.6152722],True
397,of napoleon coronation from print the british museum french speaking,belgium,belgium,[0.9631008],True
399,lacking initiative and resistent to innovation unless it has the,spur,spur,[0.9500882],True
402,the powers terrified at the possibilities of republic or of,annexation,annexation,[0.91011614],True
405,coronation from print the british museum french speaking belgium stirred,up,up,[0.9192998],True
407,had been they made it possible to carry out administrative,work,work,[0.18136874],True
408,miles per hour from onward railways multiplied by the middle,of,of,[0.77725774],True
409,be timid and conservative learning lacking initiative and resistent to,innovation,innovation,[0.9902805],True
410,that would otherwise have been impossible the steamboat clermont a,the,the,[0.86057174],True
411,over europe early travelling on the liverpool and manchester railway,early,early,[0.76238006],True
412,journey for any ordinary traveller to less than forty eight,hours,hours,[0.8894958],True
413,with independent minds we have already noted the formation of,the,the,[0.95901483],True
415,not leading part the philosophical and scientific thought of this,period,period,[0.13699085],True
416,at last britain france and russia took joint action the,turkish,turkish,[0.5811465],True
417,meant unity sustained on scale that would otherwise have been,impossible,impossible,[0.25308818],True
418,scale and new abundance appeared to revolutionize industry trevithick adapted,the,the,[0.86134034],True
419,steamer the clermont with british built engines upon the hudson,river,river,[0.90996104],True
420,life nor it affecting popular thought very profoundly during this,period,period,[0.84468985],True
421,history great revival of anatomical science the science of geology—foreshadowed,by,by,[0.9911985],True
422,travelled across the continent it meant unity sustained on scale,that,that,[0.89467484],True
423,call the “ private gentleman ” the scientific process could,not,not,[0.8750021],True
424,of human life the maximum rate of land transport after,the,the,[0.48958167],True
425,sustained on scale that would otherwise have been impossible the,steamboat,steamboat,[0.2831997],True
426,clearing up of men ’ ideas about the world which,they,they,[0.49922332],True
428,of bavaria and christian governors were set up the danubian,provinces,provinces,[0.9963081],True
429,against nicholas who succeeded alexander and then stamped out of,existence,existence,[0.9659705],True
431,new atlantis throughout the eighteenth century there much clearing up,of,of,[0.4314992],True
432,to say they reduced the chief european distances to about,tenth,tenth,[0.9701849],True
433,for six years they fought desperate while the governments of,europe,europe,[0.36610144],True
434,liberal opinion protested against this inactivity volunteers from every european,country,country,[0.9787828],True
435,darlington opened and stephenson ’ s “ rocket ” with,thirteen,thirteen,[0.9881861],True
436,danubian provinces which are now roumania and serbia part of,the,the,[0.99853814],True
437,scale that would otherwise have been impossible the steamboat clermont,a,a,[0.94707865],True
438,european influence throughout the world steady growth of knowledge and,general,general,[0.10545924],True
439,been workable under one administration the full significance of that,possibility,possibility,[0.76754344],True
440,travelling with every conceivable advantage and he averaged under miles,hour,hour,[0.69220275],True
441,timid and conservative learning lacking initiative and resistent to innovation,unless,unless,[0.08885493],True
444,of america sprawling westward it meant the possibility of continuous,access,access,[0.99538004],True
445,fulton had steamer the clermont with british built engines upon,the,the,[0.63168335],True
446,found for greece one prince otto of bavaria and christian,governors,governors,[0.99335927],True
447,more serious one russian poland republican government held out warsaw,for,for,[0.93998545],True
449,part of the jugo slav region much blood had still,to,to,[0.9140397],True
450,to resume her ancient republican traditions german king found for,greece,greece,[0.5433348],True
452,nineteenth century while these conflicts of the powers and princes,were,were,[0.44965288],True
453,what had long been fixed condition of human life the,maximum,maximum,[0.44198522],True
454,reacted upon metallurgy improved metallurgy affording the possibility of larger,and,and,[0.9016991],True
455,pacify this situation and gave the belgians monarch leopold of,saxe,saxe,[0.99779403],True
456,century network of railways had spread all over europe early,travelling,travelling,[0.57585555],True
457,powers terrified at the possibilities of republic or of annexation,to,to,[0.8355347],True
458,of republic or of annexation to france hurried to pacify,this,this,[0.76373935],True
459,on the liverpool and manchester railway the first days of,the,the,[0.96027917],True
460,influence throughout the world steady growth of knowledge and general,clearing,clearing,[0.36440706],True
461,of masses of metal and other materials reacted upon practical,inventions,inventions,[0.24489826],True
463,the roman catholic as the state religion map europe after,the,the,[0.5892914],True
464,of westphalia changing kaleidoscopically into the patchwork of the treaty,of,of,[0.97614145],True
465,liverpool and manchester railway here sudden change what had long,been,been,[0.5808932],True
466,per hour from onward railways multiplied by the middle of,the,the,[0.9471812],True
467,railway early rolling stock on the liverpool and manchester railway,the,the,[0.5616975],True
469,america the effects were immediate to the united states of,america,america,[0.9754655],True
470,profoundly during this period these reactions were to come later,and,and,[0.78014344],True
472,world which they lived progress the european and europeanized world,it,it,[0.51654756],True
473,german fatherland portrait of napoleon coronation portrait of napoleon coronation,from,from,[0.99232566],True
474,and serbia part of the jugo slav region much blood,had,had,[0.78765863],True
475,near vilna to paris hours this journey of about miles,he,he,[0.6982797],True
478,jugo slav region much blood had still to run however,before,before,[0.64421153],True
479,governors were set up the danubian provinces which are now,roumania,roumania,[0.96586066],True
480,a the steamboat if anything little ahead of the steam,engine,engine,[0.96713513],True
481,belgians monarch leopold of saxe coburg gotha there were ineffectual,revolts,revolts,[0.9743669],True
482,the universities played part but not leading part the philosophical,and,and,[0.764508],True
485,early rolling stock on the liverpool and manchester railway the,first,first,[0.8238141],True
486,manchester railway here sudden change what had long been fixed,condition,condition,[0.45498744],True
487,could not have been renewed europe the universities played part,but,but,[0.7147699],True
488,and telescope renewed energy classificatory natural history great revival of,anatomical,anatomical,[0.9925855],True
489,of about miles he travelling with every conceivable advantage and,he,he,[0.8258155],True
490,leonardo vinci —began its great task of interpreting the record,of,of,[0.98559594],True
491,handling of masses of metal and other materials reacted upon,practical,practical,[0.49562854],True
492,invaded turkey by the treaty of adrianople greece declared free,but,but,[0.3530619],True
493,rocks early rolling stock on the liverpool and manchester railway,the,the,[0.88511],True
494,declared that wherever the german tongue spoken there the german,fatherland,fatherland,[0.9956872],True
495,adrianople greece declared free but she not permitted to resume,her,her,[0.8811269],True
496,turkish fleet destroyed by the french and english at the,battle,battle,[0.54979753],True
497,and he averaged under miles hour ordinary traveller could not,have,have,[0.70901775],True
498,ordinary traveller to less than forty eight hours that is,to,to,[0.3280511],True
499,vienna and while the sailing ship spreading european influence throughout,the,the,[0.4873395],True
501,the effects were immediate to the united states of america,sprawling,sprawling,[0.9477931],True
502,science reacted upon metallurgy improved metallurgy affording the possibility of,larger,larger,[0.72027725],True
503,condition of human life the maximum rate of land transport,after,after,[0.17337947],True
504,altogether expelled from these lands lvii the development of material,knowledge,knowledge,[0.94330025],True
505,the treaty of vienna and while the sailing ship spreading,european,european,[0.62117773],True
506,society and its work realizing the dream of bacon ’,s,s,[0.764254],True
507,would otherwise have been impossible the steamboat clermont a the,steamboat,steamboat,[0.738852],True
508,boundaries drawn the horse and road era america the effects,were,were,[0.9584908],True
509,steamboat clermont a the steamboat clermont a the steamboat if,anything,anything,[0.7995641],True
510,the first days of the railway early rolling stock on,the,the,[0.8654923],True
511,every european country joined the insurgents and at last britain,france,france,[0.47539273],True
512,congress of vienna there insurrection of the greeks against the,turks,turks,[0.49135545],True
513,stock on the liverpool and manchester railway the first days,of,of,[0.9403225],True
